 --> Category: RECO_VBFLIKEGGH_Tag0
    * ggH_GE2J_MJJ_0_350_PTH_120_200_2016_hgg = 2.17%
    * ggH_GE2J_MJJ_0_350_PTH_60_120_2016_hgg = 1.40%
    * qqH_GE2J_MJJ_120_350_2016_hgg = 1.38%
    * qqH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25_2016_hgg = 3.84%
    * ggH_PTH_200_300_2016_hgg = 4.57%
    * qqH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_GT25_2016_hgg = 2.92%
    * qqH_1J_2016_hgg = 1.94%
    * qqH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25_2016_hgg = 6.92%
    * qqH_GE2J_MJJ_GT350_PTH_GT200_2016_hgg = 2.23%
    * ggH_1J_PTH_120_200_2016_hgg = 1.21%
    * ggH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25_2016_hgg = 7.30%
    * ggH_1J_PTH_60_120_2016_hgg = 2.11%
    * qqH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_0_25_2016_hgg = 3.26%
    * ggH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_GT25_2016_hgg = 1.98%
    * ggH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25_2016_hgg = 5.65%
    * ggH_PTH_200_300_2017_hgg = 1.72%
    * qqH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25_2017_hgg = 1.70%
    * ggH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25_2017_hgg = 2.48%
    * ggH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25_2017_hgg = 1.60%
    * ggH_GE2J_MJJ_0_350_PTH_120_200_2018_hgg = 1.55%
    * ggH_PTH_200_300_2018_hgg = 3.39%
    * qqH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25_2018_hgg = 4.26%
    * qqH_GE2J_MJJ_GT350_PTH_GT200_2018_hgg = 1.31%
    * ggH_1J_PTH_120_200_2018_hgg = 1.50%
    * ggH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25_2018_hgg = 5.21%
    * qqH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_0_25_2018_hgg = 1.92%
    * ggH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25_2018_hgg = 3.37%

 --> Category: RECO_VBFLIKEGGH_Tag1
    * ggH_GE2J_MJJ_0_350_PTH_60_120_2016_hgg = 2.94%
    * qqH_GE2J_MJJ_120_350_2016_hgg = 1.28%
    * qqH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25_2016_hgg = 1.96%
    * ggH_PTH_200_300_2016_hgg = 2.18%
    * qqH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_GT25_2016_hgg = 3.75%
    * qqH_1J_2016_hgg = 1.59%
    * qqH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25_2016_hgg = 3.57%
    * qqH_GE2J_MJJ_GT350_PTH_GT200_2016_hgg = 1.53%
    * ggH_1J_PTH_0_60_2016_hgg = 3.53%
    * ggH_GE2J_MJJ_0_350_PTH_0_60_2016_hgg = 1.12%
    * ggH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25_2016_hgg = 6.71%
    * ggH_1J_PTH_60_120_2016_hgg = 2.39%
    * qqH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_0_25_2016_hgg = 3.52%
    * ggH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_GT25_2016_hgg = 3.41%
    * ggH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25_2016_hgg = 3.04%
    * ggH_PTH_200_300_2017_hgg = 1.21%
    * qqH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25_2017_hgg = 1.29%
    * ggH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25_2017_hgg = 2.37%
    * ggH_1J_PTH_60_120_2017_hgg = 1.18%
    * qqH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_0_25_2017_hgg = 1.13%
    * ggH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_GT25_2017_hgg = 1.31%
    * ggH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25_2017_hgg = 1.69%
    * ggH_GE2J_MJJ_0_350_PTH_60_120_2018_hgg = 2.26%
    * ggH_PTH_200_300_2018_hgg = 2.04%
    * qqH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_GT25_2018_hgg = 1.10%
    * qqH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25_2018_hgg = 3.48%
    * ggH_1J_PTH_0_60_2018_hgg = 1.93%
    * ggH_GE2J_MJJ_0_350_PTH_0_60_2018_hgg = 1.62%
    * ggH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25_2018_hgg = 5.34%
    * ggH_1J_PTH_60_120_2018_hgg = 1.98%
    * qqH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_0_25_2018_hgg = 2.62%
    * ggH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_GT25_2018_hgg = 1.85%
    * ggH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_0_25_2018_hgg = 1.21%
    * ggH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25_2018_hgg = 3.57%

 --> Category: RECO_VBFTOPO_BSM_Tag0
    * ggH_PTH_200_300_2016_hgg = 16.50%
    * qqH_GE2J_MJJ_GT350_PTH_GT200_2016_hgg = 28.34%
    * ggH_PTH_200_300_2017_hgg = 8.11%
    * qqH_GE2J_MJJ_GT350_PTH_GT200_2017_hgg = 6.83%
    * ggH_PTH_200_300_2018_hgg = 12.25%
    * qqH_GE2J_MJJ_GT350_PTH_GT200_2018_hgg = 19.35%

 --> Category: RECO_VBFTOPO_BSM_Tag1
    * ggH_PTH_200_300_2016_hgg = 15.51%
    * ggH_PTH_300_450_2016_hgg = 6.03%
    * qqH_GE2J_MJJ_GT350_PTH_GT200_2016_hgg = 22.72%
    * WH_had_GE2J_MJJ_GT350_PTH_GT200_2016_hgg = 1.64%
    * ggH_PTH_200_300_2017_hgg = 4.75%
    * ggH_PTH_300_450_2017_hgg = 3.24%
    * qqH_GE2J_MJJ_GT350_PTH_GT200_2017_hgg = 5.76%
    * ggH_PTH_200_300_2018_hgg = 9.92%
    * ggH_PTH_300_450_2018_hgg = 5.89%
    * qqH_GE2J_MJJ_GT350_PTH_GT200_2018_hgg = 13.39%
    * WH_had_GE2J_MJJ_GT350_PTH_GT200_2018_hgg = 1.27%

 --> Category: RECO_VBFTOPO_JET3VETO_HIGHMJJ_Tag0
    * qqH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_GT25_2016_hgg = 3.75%
    * qqH_1J_2016_hgg = 3.00%
    * qqH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25_2016_hgg = 2.07%
    * qqH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_0_25_2016_hgg = 34.78%
    * ggH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_0_25_2016_hgg = 3.62%
