#proc cat nGausRV nGausWV
GG2H_FWDH TTHHadronicTag 4 3
GG2H_FWDH TTHLeptonicTag 4 1
GG2H_FWDH UntaggedTag_0 4 3
GG2H_FWDH UntaggedTag_1 4 3
GG2H_FWDH UntaggedTag_2 4 3
GG2H_FWDH UntaggedTag_3 4 3
GG2H_FWDH VBFTag_0 2 3
GG2H_FWDH VBFTag_1 4 3
QQ2HLL_FWDH TTHHadronicTag 4 3
QQ2HLL_FWDH TTHLeptonicTag 4 1
QQ2HLL_FWDH UntaggedTag_0 4 3
QQ2HLL_FWDH UntaggedTag_1 4 3
QQ2HLL_FWDH UntaggedTag_2 4 3
QQ2HLL_FWDH UntaggedTag_3 4 3
QQ2HLL_FWDH VBFTag_0 4 3
QQ2HLL_FWDH VBFTag_1 4 3
QQ2HLNU_FWDH TTHHadronicTag 4 1
QQ2HLNU_FWDH TTHLeptonicTag 4 1
QQ2HLNU_FWDH UntaggedTag_0 4 3
QQ2HLNU_FWDH UntaggedTag_1 4 3
QQ2HLNU_FWDH UntaggedTag_2 2 3
QQ2HLNU_FWDH UntaggedTag_3 4 3
QQ2HLNU_FWDH VBFTag_0 4 1
QQ2HLNU_FWDH VBFTag_1 4 3
TTH_FWDH TTHHadronicTag 4 3
TTH_FWDH TTHLeptonicTag 4 3
TTH_FWDH UntaggedTag_0 4 1
TTH_FWDH UntaggedTag_1 4 3
TTH_FWDH UntaggedTag_2 4 1
TTH_FWDH UntaggedTag_3 4 3
TTH_FWDH VBFTag_0 4 1
TTH_FWDH VBFTag_1 4 1
VBF_FWDH TTHHadronicTag 4 3
VBF_FWDH TTHLeptonicTag 4 1
VBF_FWDH UntaggedTag_0 4 3
VBF_FWDH UntaggedTag_1 4 3
VBF_FWDH UntaggedTag_2 4 3
VBF_FWDH UntaggedTag_3 4 3
VBF_FWDH VBFTag_0 4 3
VBF_FWDH VBFTag_1 4 3
VH2HQQ_FWDH TTHHadronicTag 4 3
VH2HQQ_FWDH TTHLeptonicTag 4 1
VH2HQQ_FWDH UntaggedTag_0 4 3
VH2HQQ_FWDH UntaggedTag_1 4 3
VH2HQQ_FWDH UntaggedTag_2 4 3
VH2HQQ_FWDH UntaggedTag_3 4 3
VH2HQQ_FWDH VBFTag_0 4 1
VH2HQQ_FWDH VBFTag_1 4 3
