#proc cat nGausRV nGausWV
ggh TTHHadronicTag 2 1
ggh TTHLeptonicTag 2 1
ggh UntaggedTag_0 2 1
ggh UntaggedTag_1 2 1
ggh UntaggedTag_2 2 1
ggh UntaggedTag_3 2 1
ggh VBFTag_0 2 1
ggh VBFTag_1 2 1
tth TTHHadronicTag 4 3
tth TTHLeptonicTag 4 3
tth UntaggedTag_0 4 1
tth UntaggedTag_1 4 3
tth UntaggedTag_2 4 1
tth UntaggedTag_3 4 3
tth VBFTag_0 4 1
tth VBFTag_1 4 1
vbf TTHHadronicTag 2 1
vbf TTHLeptonicTag 2 1
vbf UntaggedTag_0 2 1
vbf UntaggedTag_1 2 1
vbf UntaggedTag_2 2 1
vbf UntaggedTag_3 2 1
vbf VBFTag_0 2 1
vbf VBFTag_1 2 1
vh TTHHadronicTag 2 1
vh TTHLeptonicTag 2 1
vh UntaggedTag_0 2 1
vh UntaggedTag_1 2 1
vh UntaggedTag_2 2 1
vh UntaggedTag_3 2 1
vh VBFTag_0 2 1
vh VBFTag_1 2 1
