# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCatScales=HighR9EB_13TeVscale,HighR9EE_13TeVscale,LowR9EB_13TeVscale,LowR9EE_13TeVscale
photonCatScalesCorr=MaterialCentral_scale,MaterialForward_scale,FNUFEE_scale,FNUFEB_scale,ShowerShapeHighR9EE_scale,ShowerShapeHighR9EB_scale,ShowerShapeLowR9EE_scale,ShowerShapeLowR9EB_scale
photonCatSmears=HighR9EBPhi_13TeVsmear,HighR9EBRho_13TeVsmear,HighR9EEPhi_13TeVsmear,HighR9EERho_13TeVsmear,LowR9EBPhi_13TeVsmear,LowR9EBRho_13TeVsmear,LowR9EEPhi_13TeVsmear,LowR9EERho_13TeVsmear
globalScales=NonLinearity_13TeVscale:UntaggedTag_0:2,Geant4_13TeVscale

# photonCat                   mean_change    sigma_change    rate_change
diphotonCat=0
proc=ggh
HighR9EB_13TeVscale           0.0009989     0.002454     0.0004704    
HighR9EE_13TeVscale           3.463e-05     0.001495     5.27e-06    
LowR9EB_13TeVscale            0.0006256     0.007998     0.0006093    
LowR9EE_13TeVscale            2.311e-05     0.0003357     0.0002431    
HighR9EBPhi_13TeVsmear        7.841e-05     0.1178     0.0004638    
HighR9EBRho_13TeVsmear        1.944e-05     0.004696     0.0001467    
HighR9EEPhi_13TeVsmear        1.43e-05     0.008402     0.0001771    
HighR9EERho_13TeVsmear        2.802e-05     0.001277     4.452e-07    
LowR9EBPhi_13TeVsmear         0.0001212     0.03002     0.0009544    
LowR9EBRho_13TeVsmear         3.393e-05     0.000353     0.000261    
LowR9EEPhi_13TeVsmear         7.961e-06     0.0002005     5.988e-05    
LowR9EERho_13TeVsmear         2.617e-05     0.0002356     0.0001106    
MaterialCentral_scale         0.0004391     0.004185     0.0002857    
MaterialForward_scale         5.716e-05     0.002504     0.0002484    
FNUFEE_scale                  2.609e-05     0.00197     0.0002431    
FNUFEB_scale                  0.0003881     0.003323     0.0004248    
ShowerShapeHighR9EE_scale     3.141e-05     0.001203     4.452e-07    
ShowerShapeHighR9EB_scale     0.0001703     0.004585     0.0002657    
