# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCatScales=HighR9EB_13TeVscale,HighR9EE_13TeVscale,LowR9EB_13TeVscale,LowR9EE_13TeVscale
photonCatScalesCorr=MaterialCentral_scale,MaterialForward_scale
photonCatSmears=HighR9EBPhi_13TeVsmear,HighR9EBRho_13TeVsmear,HighR9EEPhi_13TeVsmear,HighR9EERho_13TeVsmear,LowR9EBPhi_13TeVsmear,LowR9EBRho_13TeVsmear,LowR9EEPhi_13TeVsmear,LowR9EERho_13TeVsmear
globalScales=NonLinearity_13TeVscale,Geant4_13TeVscale,LightYield_13TeVscale,Absolute_13TeVscale

# photonCat                   mean_change    sigma_change    rate_change
diphotonCat=0
proc=ggh
HighR9EB_13TeVscale           0.001012     0.007389     0.001187    
HighR9EE_13TeVscale           3.208e-05     0.0008404     0.0001859    
LowR9EB_13TeVscale            0.0005261     0.002411     0.00105    
LowR9EE_13TeVscale            3.25e-05     0.0002491     0.000183    
HighR9EBPhi_13TeVsmear        0.0001302     0.2473     0.0005436    
HighR9EBRho_13TeVsmear        8.451e-06     0.0228     0.00194    
HighR9EEPhi_13TeVsmear        0.0001128     0.02059     0.001007    
HighR9EERho_13TeVsmear        3.816e-05     0.0007973     0.0003602    
LowR9EBPhi_13TeVsmear         0.0001188     0.07696     0.002513    
LowR9EBRho_13TeVsmear         6.23e-06     0.00566     0.001109    
LowR9EEPhi_13TeVsmear         7.167e-05     0.005095     0.0004565    
LowR9EERho_13TeVsmear         3.265e-05     0.0001462     2.873e-07    
MaterialCentral_scale         0.0003564     0.002187     0.001062    
MaterialForward_scale         0.0005657     0.01088     0.00047    

diphotonCat=0
proc=vbf
HighR9EB_13TeVscale           0.00102     0.0223     0.0001367    
HighR9EE_13TeVscale           1.914e-05     0.001488     0.000484    
LowR9EB_13TeVscale            0.0005872     0.003639     0.0005073    
LowR9EE_13TeVscale            1.212e-05     0.000715     7.768e-05    
HighR9EBPhi_13TeVsmear        0.0001479     0.2055     0.001263    
HighR9EBRho_13TeVsmear        2.043e-05     0.03492     0.0008509    
HighR9EEPhi_13TeVsmear        8.226e-06     0.003826     0.0002873    
HighR9EERho_13TeVsmear        1.425e-05     0.002079     0.0002924    
LowR9EBPhi_13TeVsmear         4.324e-05     0.05743     0.0009605    
LowR9EBRho_13TeVsmear         1.293e-05     0.009017     0.001239    
LowR9EEPhi_13TeVsmear         2.219e-05     0.002451     0.0005608    
LowR9EERho_13TeVsmear         1.258e-05     0.0006934     7.772e-05    
MaterialCentral_scale         0.0003986     0.00669     0.000793    
MaterialForward_scale         0.0004295     0.004784     0.0004629    

diphotonCat=0
proc=tth
HighR9EB_13TeVscale           0.001037     0.02181     0.001517    
HighR9EE_13TeVscale           9.105e-05     0.002206     1.077e-07    
LowR9EB_13TeVscale            0.0005711     0.02156     0.005413    
LowR9EE_13TeVscale            8.287e-05     0.0007766     1.127e-07    
HighR9EBPhi_13TeVsmear        8.555e-05     0.2732     0.0113    
