# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCatScales=HighR9EB_13TeVscale,HighR9EE_13TeVscale,LowR9EB_13TeVscale,LowR9EE_13TeVscale,Gain1EB_13TeVscale,Gain6EB_13TeVscale
photonCatScalesCorr=MaterialCentralBarrel_scale,MaterialOuterBarrel_scale,MaterialForward_scale,FNUFEE_scale,FNUFEB_scale,ShowerShapeHighR9EE_scale,ShowerShapeHighR9EB_scale,ShowerShapeLowR9EE_scale,ShowerShapeLowR9EB_scale
photonCatSmears=HighR9EBPhi_13TeVsmear,HighR9EBRho_13TeVsmear,HighR9EEPhi_13TeVsmear,HighR9EERho_13TeVsmear,LowR9EBPhi_13TeVsmear,LowR9EBRho_13TeVsmear,LowR9EEPhi_13TeVsmear,LowR9EERho_13TeVsmear
globalScales=NonLinearity_13TeVscale:UntaggedTag_0:2,Geant4_13TeVscale

# photonCat                   mean_change    sigma_change    rate_change
diphotonCat=0
proc=GG2H
HighR9EB_13TeVscale           0.0008352     0.01624     0.0009892    
HighR9EE_13TeVscale           2.6e-05     0.001516     0.0004855    
LowR9EB_13TeVscale            0.000802     0.01062     0.0006042    
LowR9EE_13TeVscale            1.87e-05     0.0006119     4.628e-07    
Gain1EB_13TeVscale            8.641e-05     0.002517     4.542e-07    
Gain6EB_13TeVscale            8.161e-05     0.00242     0.0004038    
HighR9EBPhi_13TeVsmear        6.984e-05     0.0804     0.0004982    
HighR9EBRho_13TeVsmear        3.418e-05     0.02191     0.001062    
HighR9EEPhi_13TeVsmear        5.159e-05     0.006785     0.0004484    
HighR9EERho_13TeVsmear        2.323e-05     0.0006534     0.0002991    
LowR9EBPhi_13TeVsmear         8.779e-05     0.03116     0.0002461    
LowR9EBRho_13TeVsmear         4.203e-05     0.004858     0.0001751    
LowR9EEPhi_13TeVsmear         1.968e-05     0.002844     0.0004268    
LowR9EERho_13TeVsmear         1.784e-05     0.0009531     0.0001358    
MaterialCentralBarrel_scale   0.000242     0.003701     0.0001633    
MaterialOuterBarrel_scale     0.0003221     0.006136     0.0003624    
MaterialForward_scale         6.13e-05     0.003385     0.000559    
FNUFEE_scale                  2.692e-05     0.0006817     0.0001691    
FNUFEB_scale                  0.0002912     0.007496     0.0005237    
ShowerShapeHighR9EE_scale     2.347e-05     0.001151     4.679e-07    
ShowerShapeHighR9EB_scale     0.0004478     0.009939     0.000579    
ShowerShapeLowR9EE_scale      2.057e-05     0.0005035     0.0001358    
ShowerShapeLowR9EB_scale      3.18e-05     0.001183     0.0001552    

diphotonCat=0
proc=VBF
HighR9EB_13TeVscale           0.0009175     0.02295     0.001073    
HighR9EE_13TeVscale           3.057e-05     0.00113     0.0002977    
LowR9EB_13TeVscale            0.0007512     0.0198     0.000539    
LowR9EE_13TeVscale            5.176e-06     0.001203     0.0001595    
Gain1EB_13TeVscale            5.027e-05     0.00219     0.0001976    
Gain6EB_13TeVscale            7.13e-05     0.002085     0.0002383    
HighR9EBPhi_13TeVsmear        3.765e-05     0.1317     0.0006947    
HighR9EBRho_13TeVsmear        1.358e-05     0.02361     0.0008044    
HighR9EEPhi_13TeVsmear        1.463e-05     0.005489     0.001134    
HighR9EERho_13TeVsmear        1.546e-06     0.0006298     0.0003598    
LowR9EBPhi_13TeVsmear         1.531e-05     0.03941     0.001933    
LowR9EBRho_13TeVsmear         1.493e-05     0.01283     0.0005047    
LowR9EEPhi_13TeVsmear         2.897e-06     0.002137     0.0001583    
LowR9EERho_13TeVsmear         6.079e-06     0.001153     0.00019    
MaterialCentralBarrel_scale   0.0002401     0.007457     0.0007431    
